name;identifier;SMILES;inchikey;MW;LogP;pubchem;drugbank;pdb;chEMBL;membrane;method;temperature;charge;note;X_min;X_min_acc;G_pen;G_pen_acc;G_wat;G_wat_acc;LogK;LogK_acc;LogPerm;LogPerm_acc;theta;theta_acc;abs_wl;abs_wl_acc;fluo_wl;fluo_wl_acc;QY;QY_acc;lt;lt_acc;primary_reference;secondary_reference
1-[4-(2-methoxyethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol;MM00275;COCCc1ccc(OCC(O)CNC(C)C)cc1;IUBSYMUCCVWXPE-UHFFFAOYSA-N;267.369;1.61;4171;DB00264;;CHEMBL13;CACO;ECACO;37;1;;;;;;;;;;-4.63;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Progesterone;MM00198;CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C;RJKFOVLPORLFTN-UHFFFAOYSA-N;314.469;4.72;5994;DB00396;STR;CHEMBL103;CACO;ECACO;37;0;;;;;;;;;;-4.63;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
"Salicylic Acid";MM00093;O=C(O)c1ccccc1O;YGSDEFSMJLZEOE-UHFFFAOYSA-N;138.123;1.09;338;DB00936;SAL;CHEMBL424;CACO;ECACO;37;-1;;;;;;;;;;-4.66;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
N-(2,6-dichlorophenyl)-4,5-dihydro-1H-imidazol-2-amine;MM00344;Clc1cccc(Cl)c1N=C1NCCN1;GJSURZIOUXUGAL-UHFFFAOYSA-N;230.09;2.17;2803;DB00575;CLU;CHEMBL134;CACO;ECACO;37;1;;;;;;;;;;-4.66;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol;MM00085;CC(C)NCC(O)COc1cccc2ccccc12;AQHHHDLHHXJYJD-UHFFFAOYSA-N;259.349;2.58;4946;DB00571;;CHEMBL27;CACO;ECACO;37;1;;;;;;;;;;-4.66;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Corticosterone;MM00346;CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12;OMFXVFTZEKFJBZ-UHFFFAOYSA-N;346.467;2.67;5753;DB04652;C0R;CHEMBL110739;CACO;ECACO;37;0;;;;;;;;;;-4.67;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one;MM00095;CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O;PJVWKTKQMONHTI-UHFFFAOYSA-N;308.333;3.61;54678486;DB00682;;CHEMBL1464;CACO;ECACO;37;-1;;;;;;;;;;-4.68;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
"2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid";MM00656;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1;CGIGDMFJXJATDK-UHFFFAOYSA-N;357.79;3.93;3715;DB00328;IMN;CHEMBL6;CACO;ECACO;37;-1;;;;;;;;;;-4.69;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine;MM00461;CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21;ZPEIMTDSQAKGNT-UHFFFAOYSA-N;318.863;4.89;2726;DB00477;Z80;CHEMBL71;CACO;ECACO;37;1;;;;;;;;;;-4.7;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Meloxicam;MM00668;Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1;ZRVUJXDFFKFLMG-UHFFFAOYSA-N;351.395;1.95;54677470;DB00814;MXM;CHEMBL599;CACO;ECACO;37;-1;;;;;;;;;;-4.71;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
3-[(2S)-1-methylpyrrolidin-2-yl]pyridine;MM00529;CN1CCCC1c1cccnc1;SNICXCGAKADSCV-UHFFFAOYSA-N;162.236;1.85;89594;DB00184;NCT;CHEMBL3;CACO;ECACO;37;1;;;;;;;;;;-4.71;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Estradiol;MM00197;CC12CCC3c4ccc(O)cc4CCC3C1CCC2O;VOXZDWNPVJITMN-UHFFFAOYSA-N;272.388;3.61;5757;DB00783;EST;CHEMBL135;CACO;ECACO;37;0;;;;;;;;;;-4.77;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
1-(1H-indol-4-yloxy)-3-(propan-2-ylamino)propan-2-ol;MM00542;CC(C)NCC(O)COc1cccc2[nH]ccc12;JZQKKSLKJUAGIC-UHFFFAOYSA-N;248.326;1.91;4828;DB00960;;CHEMBL500;CACO;ECACO;37;1;;;;;;;;;;-4.78;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Telmisartan;MM01037;CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1;RMMXLENWKUUMAY-UHFFFAOYSA-N;514.629;7.26;65999;DB00966;TLS;CHEMBL1017;CACO;ECACO;37;-1;;;;;;;;;;-4.82;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Hydrocortisone;MM00044;CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO;JYGXADMDTFJGBT-UHFFFAOYSA-N;362.466;1.78;5754;DB00741;HCY;CHEMBL389621;CACO;ECACO;37;0;;;;;;;;;;-4.85;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
(2S)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol;MM00573;CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1;BLJRIMJGRPQVNF-UHFFFAOYSA-N;316.42;0.5;33624;DB00373;TIM;CHEMBL499;CACO;ECACO;37;1;;;;;;;;;;-4.89;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Dexamethasone;MM00355;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;UREBDLICKHMUKA-CXSFZGCWSA-N;392.467;1.9;5743;DB01234;DEX;CHEMBL384467;CACO;ECACO;37;0;;;;;;;;;;-4.91;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Scopolamine;MM00564;CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21;STECJAGHUSJQJN-USLFZFAMSA-N;303.358;0.92;3000322;DB00747;;CHEMBL569713;CACO;ECACO;37;1;;;;;;;;;;-4.93;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
4-(2-aminoethyl)benzene-1,2-diol;MM00483;NCCc1ccc(O)c(O)c1;VYFYYTLLBUKUHU-UHFFFAOYSA-N;153.181;0.6;681;DB00988;LDP;CHEMBL59;CACO;ECACO;37;1;;;;;;;;;;-5.03;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
2-hydroxy-5-[1-hydroxy-2-(4-phenylbutan-2-ylamino)ethyl]benzamide;MM00507;CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1;SGUAFYQXFOLMHL-UHFFFAOYSA-N;328.412;2.14;3869;DB00598;;CHEMBL429;CACO;ECACO;37;1;;;;;;;;;;-5.03;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
"Acetylsalicylic acid";MM00080;CC(=O)Oc1ccccc1C(=O)O;BSYNRYMUTXBXSQ-UHFFFAOYSA-N;180.159;1.31;2244;DB00945;AIN;CHEMBL25;CACO;ECACO;37;-1;;;;;;;;;;-5.04;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Bremazocine;MM00452;CC[C@]12CCN(CC3(O)CC3)[C@H](Cc3ccc(O)cc31)C2(C)C;ZDXGFIXMPOUDFF-XLIONFOSSA-N;315.457;3.22;443406;;;;CACO;ECACO;37;0;;;;;;;;;;-5.1;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
1-[(2R,4S,5S)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione;MM00077;Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O;HBOMLICNUCNMMY-UHFFFAOYSA-N;267.245;-0.2;35370;DB00495;AZZ;CHEMBL129;CACO;ECACO;37;0;;;;;;;;;;-5.16;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Urea;MM00065;NC(N)=O;XSQUKJJJFZCRTK-UHFFFAOYSA-N;60.056;-0.98;1176;DB03904;URE;CHEMBL985;CACO;ECACO;37;1;;;;;;;;;;-5.34;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
1H-pyrimidine-2,4-dione;MM01039;O=c1cc[nH]c(=O)[nH]1;ISAKRJDGNUQOIC-UHFFFAOYSA-N;112.088;-0.94;1174;DB03419;URA;CHEMBL566;CACO;ECACO;37;1;;;;;;;;;;-5.37;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
(2R,3S)-5-[3-(tert-butylamino)-2-hydroxypropoxy]-1,2,3,4-tetrahydronaphthalene-2,3-diol;MM00525;CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2;VWPOSFSPZNDTMJ-UHFFFAOYSA-N;309.406;0.63;39147;DB01203;;CHEMBL649;CACO;ECACO;37;1;;;;;;;;;;-5.41;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Sucrose;MM00421;OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;CZMRCDWAGMRECN-UGDNZRGBSA-N;342.297;-5.4;5988;DB02772;SUC;CHEMBL253582;CACO;ECACO;37;0;;;;;;;;;;-5.77;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
1-cyano-2-methyl-3-[2-[(5-methyl-1H-imidazol-4-yl)methylsulfanyl]ethyl]guanidine;MM00463;CNC(=NCCSCc1nc[nH]c1C)NC#N;AQIXAKUUQRKLND-UHFFFAOYSA-N;252.34;0.6;2756;DB00501;;CHEMBL30;CACO;ECACO;37;1;;;;;;;;;;-5.86;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Methylscopolamine;MM01040;C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21;LZCOQTDXKCNBEE-XJMZPCNVSA-N;318.393;1.06;71183;DB00462;;;CACO;ECACO;37;1;;;;;;;;;;-6.16;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
